RNA.1	RNA.2	RNA.3	RNA.4	RNA.8	RNA.11	RNA.12	RNA.15	RNA.16	RNA.17	RNA.19	RNA.20
Gm28822	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	0	0	0	0	0	0	0	0	0	0	0	0
Smap1	1.51428571428571	0.666666666666667	1	1	0	1	1	0.5	0	2	1	0
Sdhaf4	0.314285714285714	0	0	0	0	0	0	0	1	0.5	0.4	0
Fam135a	0.114285714285714	0	0.5	0	0.5	1	0	0.5	0	0	0.1	1
Col9a1	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Lmbrd1	0.171428571428571	0	0.5	0	0.5	0	0	0.5	0	0	0.1	0
Gm28237	0	0	0	0	0	0	0	0	0	0	0	0
Gm29414	0	0	0	0	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	0.628571428571429	0	1	0	0.5	4	1	0	0	1	0.5	2
Ptp4a1	0.257142857142857	0	0	0	1	3	0	1	0	1	0.3	0
Gm29669	0	0	0	0	0	0	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm29128	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0	0	0	0	0
Gm37724	0	0	0	0	0	0	0	0	0	0	0	0
Gm37591	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0
Rab23	0.142857142857143	0	0	0	0	1	0	0	0	0	0	0
Bag2	0.257142857142857	0	0	0	0.5	0	0	0	1	0	0.1	0
Zfp451	0.485714285714286	0	0.5	1	0.5	0	0	1	0	0	0.3	0
Bend6	0	0	0	0	0	0	0	0	0	0	0	1
Dst	0.828571428571429	1	1.5	2	0.5	0	0	0.5	0	1.5	0.4	0
Gm37958	0	0	0	0	0	0	0	0	0	0	0	0
Gm37233	0.0285714285714286	0	0	1	0	0	0	0	0	0	0	0
Ccdc115	0.142857142857143	0	0.5	0	0	0	0	0	0	0	0.1	0
Gm28306	0	0	0	0	0	0	0	0	0	0	0	0
Imp4	0.342857142857143	0	0	0	0	1	0	0	0	0.5	0.4	0
Ptpn18	0.0285714285714286	0	0	0	1	0	1	0	0	0	0.2	1
4930568A12Rik	0	0	0	0	0	0	0	0	0	0	0	0
Prss39	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	0	0	0	0	0	0	0	0	0	0	0	0
Gm38336	0	0	0	0	0	0	0	0	0	0	0	0
Fam168b	0.4	0.333333333333333	1	0	0.5	1	2	0.5	2	0	0.2	0
Plekhb2	0	0	0	0	0	0	0	0	0	0	0.1	0
Gm37068	0	0	0	0	0	0	0	0	0	0	0	0
Gm28415	0	0	0	0	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm37146	0	0	0	0	0	0	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0	0	0	0	0	0	0
4930535G08Rik	0	0	0	0	0	0	0	0	0	0	0	0
Hs6st1	0	0	0	0	0.5	0	0	0	0	0	0.1	0
Gm37335	0	0	0	0	0	0	0	0	0	0	0	0
Gm33280	0	0	0	0	0	0	0	0	0	0	0	0
Uggt1	0.2	0.333333333333333	0	0	0	1	0	1	0	0	0.1	1
Neurl3	0	0	0	0	0	0	0	0	0	0	0	0
Arid5a	0.514285714285714	0	0.5	0	0	1	0	0.5	1	1	0.3	1
4930403P22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Kansl3	0.171428571428571	0.333333333333333	0	0	0.5	2	0	0	0	1.5	0.2	0
Fer1l5	0	0	0	0	0	0	0	0	0	0	0	0
Lman2l	0.171428571428571	0	0	1	0	0	0	0	0	0	0.1	0
Cnnm4	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Cnnm3	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0
Gm38033	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd23	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Gm42417	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd39	0.0571428571428571	0	0	0	0	1	0	0.5	1	1	0.2	0
Sema4c	0.0857142857142857	0	0	0	0	0	0	0	0	0	0.2	0
Fam178b	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Cox5b	8.88571428571429	6.33333333333333	3	2	6.5	7	9	4	3	1.5	5.9	9
Actr1b	0.714285714285714	0	0.5	1	1	1	1	0.5	0	0	0.3	0
4933424G06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm33533	0	0	0	0	0	0	0	0	0	0	0	0
Zap70	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131	0.342857142857143	0.666666666666667	0	0	1	0	0	0	0	2	0.2	0
Vwa3b	0	0	0	0	0	0	0	0	0	0	0	0
Gm37020	0	0	0	0	0	0	0	0	0	0	0	0
Cnga3	0	0	0	0	0	0	0	0	0	0	0	0
Inpp4a	0.142857142857143	0	0	0	0	0	0	0	0	0	0.2	0
4930439A04Rik	0	0	0	0	0	0	0	0	0	0	0	0
Coa5	0.142857142857143	0	0	0	0	0	0	0	0	0.5	0.1	0
Unc50	0.514285714285714	0.333333333333333	0	0	0.5	1	1	0	0	0.5	0.6	0
Mgat4a	0.0857142857142857	0	0	0	0	0	0	0	0	0	0.4	0
2010300C02Rik	0	0	0	0	0	0	0	0	0	0	0	0
4930556I23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Tsga10	0.0285714285714286	0	0	0	0	0	0	0	1	0	0	1
Gm26805	0	0	0	0	0	0	0	0	0	0	0	0
Lipt1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	1
Mitd1	0.314285714285714	0.666666666666667	0	0	0.5	2	0	0.5	0	0	0.1	0
Mrpl30	1.14285714285714	0.666666666666667	1.5	2	2	1	2	1.5	2	1	1.4	1
Lyg2	0	0	0	0	0	0	0	0	0	0	0	0
Gm15457	0	0	0	0	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	0.571428571428572	1.33333333333333	0	0	1	1	2	0	2	2	0.5	0
Eif5b	2.57142857142857	0.666666666666667	2.5	1	4	2	5	2	2	1	1.4	3
Rev1	0.114285714285714	0	0	0	0	0	0	0	0	0.5	0	0
Gm5099	0	0	0	0	0	0	0	0	0	0	0	0
Aff3	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0
Gm16150	0	0	0	0	0	0	0	0	0	0	0	0
Gm16151	0	0	0	0	0	0	0	0	0	0	0	0
Gm16152	0	0	0	0	0	0	0	0	0	0	0	0
Lonrf2	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Gm37707	0	0	0	0	0	0	0	0	0	0	0	0
Nms	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	0.771428571428572	1	0.5	0	1.5	1	0	0	0	2	0.4	0
Gm37821	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	0	0	0	0	0	0	0	0	0	0	0	0
Rpl31	8.51428571428571	4.33333333333333	7	6	11	15	4	2	6	2.5	3.4	5
Tbc1d8	0	0	0	0	0	0	0	0.5	0	0.5	0	0
Cnot11	0.2	0	0	0	0	0	1	0	0	0	0	1
Rnf149	0.2	0	0	0	0.5	1	0	0	0	0	0.1	2
Creg2	0	0	0	0	0	0	0	0	0	0	0	0
D930019O06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rfx8	0	0	0	0	0	0	0	0	0	0	0	0
Gm3646	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.1	0
Map4k4	3	1.33333333333333	4.5	4	2	4	4	1.5	3	1	2.2	6
Il1r2	0	0	0	0	0	0	0	0	0	0	0	0
Gm16894	0	0	0	0	0	0	0	0	0	0	0	0
Il1r1	0.542857142857143	0.666666666666667	1	0	1	2	1	0.5	1	0	0.9	2
Il1rl2	0	0	0	0	0	0	0	0	0	0	0	1
Il1rl1	0	0	0	0	0	0	0	0	0	0	0	0
Il18r1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Il18rap	0	0	0	0	0	0	0	0	0	0	0	0
Gm35801	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a4	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a2	0	0	0	0	0	0	0	0	0	0	0	0
Gm37623	0	0	0	0	0	0	0	0	0	0	0	0
Gm37915	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd9	0	0	0	0	0	0	0	0	0	0	0.1	0
Tmem182	0	0	0	0	0	0	1	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm28634	0	0	0	0	0	0	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0	0	0	0	0	0	0
Gm9915	0	0	0	0	0	0	0	0	0	0	0	0
Gm29664	0	0	0	0	0	0	0	0	0	0	0	0
Gm28175	0	0	0	0	0	0	0	0	0	0	0	0
Gm28140	0	0	0	0	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	0.485714285714286	0	0.5	0	0.5	0	1	0	0	0.5	0.8	2
Gpr45	0	0	0	0	0	0	0	0	0	0	0	1
Tgfbrap1	0.0285714285714286	0	0	0	0	0	0	0	0	0.5	0.1	0
Gm28782	0	0	0	0	0	0	0	0	0	0	0	0
8430432A02Rik	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
AI597479	0.2	0.333333333333333	0	0	1	0	0	0	0	0	0.1	1
Fhl2	0.571428571428572	0.666666666666667	0	0	0	0	0	0	2	0.5	0.7	0
Gm29040	0	0	0	0	0	0	0	0	0	0	0	0
Nck2	0.114285714285714	0	0	0	0	0	1	0	0	0	0	0
1500015O10Rik	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm29155	0	0	0	0	0	0	0	0	0	0	0	0
Gm29157	0	0	0	0	0	0	0	0	0	0	0	0
Gm29156	0	0	0	0	0	0	0	0	0	0	0	0
Uxs1	0.171428571428571	0	0	0	0	0	0	0	0	0	0	0
Tpp2	0.542857142857143	0.333333333333333	0.5	1	1.5	1	1	0	1	1	0.2	1
Mettl21c	0	0	0	0	0	0	0	0	0	0	0	0
Gm8251	0	0	0	0	0	0	0	0	0	0	0	0
Tex30	0.114285714285714	0	0	0	0.5	0	0	0	0	0	0.3	0
Kdelc1	0.285714285714286	0	0	0	0.5	1	1	0	0	1.5	0.1	0
Bivm	0.114285714285714	0	0	0	0	0	0	0	0	0	0.1	1
Ercc5	0.2	0	0	0	0	0	0	0	0	0	0.2	0
Mettl21e	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	0.0571428571428571	0	0	0	0.5	0	0	0	0	0	0.2	1
4930521E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	1.17142857142857	2.33333333333333	0	2	1.5	3	0	0	0	1	6.4	3
Col5a2	0.628571428571429	2	1	1	0.5	0	0	0	1	0	1.1	4
Wdr75	0.371428571428571	0	0	0	0	0	1	0	0	0	0.5	0
Gm5269	0	0	0	0	0	0	0	0	0	0	0	0
Slc40a1	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	0	0	0	0	0	0	0	1	0	0	0.1	0
Dnah7c	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a10	0.228571428571429	0	0	0	0	0	0	0	0	0.5	0.1	0
Gm28151	0	0	0	0	0	0	0	0	0	0	0	0
Gm28826	0	0	0	0	0	0	0	0	0	0	0	0
C230029F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933411E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm29665	0	0	0	0	0	0	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	0	0	0	0	0	0	0	0	0	0	0	0
Gm28322	0	0	0	0	0	0	0	0	0	0	0	0
Gm28319	0	0	0	0	0	0	0	0	0	0	0	0
Gm29325	0	0	0	0	0	0	0	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0	0	0	0	0	0	0
Cavin2	1.31428571428571	1.66666666666667	3.5	3	2.5	0	1	1.5	4	1.5	1.4	3
1700072G22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Nabp1	0	0	0	0	0	0	0	0	0	0	0	0
Gm17767	0	0	0	0	0	0	0	0	0	0	0	0
Gm28055	0	0	0	0	0	0	0	0	0	0	0	0
Myo1b	1.22857142857143	0	0.5	0	1	3	5	0.5	5	1.5	1.8	2
Stat4	0	0	0	0	0	0	0	0	0	0	0	0
Gm31812	0	0	0	0	0	0	0	0	0	0	0	0
Stat1	0.228571428571429	0	0	0	0	0	1	0	0	0	0	0
Gls	0.6	0.333333333333333	1	0	1.5	1	2	1	2	1	0.5	0
Nab1	2.68571428571429	3	1.5	4	2	2	1	3	1	0.5	2.9	3
Gm553	0	0	0	0	0	0	0	0	0	0	0	0
Gm28178	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Nemp2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.1	0
Mfsd6	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Inpp1	0.2	0	0	0	0	0	0	0	0	0	0.2	0
Hibch	0.171428571428571	0	0	0	0	0	1	0	0	0	0.4	0
1700019D03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mstn	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Pms1	0.0857142857142857	0.333333333333333	0	0	0	0	0	0	0	0	0.1	0
Gm28777	0	0	0	0	0	0	0	0	0	0	0	0
Ormdl1	0.171428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm28778	0	0	0	0	0	0	0	0	0	0	0	0
Osgepl1	0.114285714285714	0.333333333333333	0	0	0.5	0	0	0	0	0.5	0	0
Gm28551	0	0	0	0	0	0	0	0	0	0	0	0
Asnsd1	0.257142857142857	0	0	0	0	0	0	0	1	0	0	0
Dnah7a	0	0	0	0	0	0	0	0	0	0	0	0
Stk17b	0.0571428571428571	0	0	0	0	0	0	0.5	0	0	0	0
Hecw2	0.142857142857143	0	0	0	0.5	0	0	0	0	0	0.2	0
Ccdc150	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c3	0.342857142857143	0.333333333333333	0	0	0	1	0	0	0	0	0	0
Gm34066	0	0	0	0	0	0	0	0	0	0	0	0
Pgap1	0	0	0	0	0.5	0	0	0	0	0	0	0
Ankrd44	0.285714285714286	0	0.5	0	0	0	1	0.5	0	0	0.1	0
4930444A19Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sf3b1	2.62857142857143	1.33333333333333	2.5	4	1.5	5	2	0	1	3	1.8	5
Coq10b	0.371428571428571	0	1.5	1	0	1	0	0	0	0	0.5	0
Hspd1	4.6	1	3	5	2	13	5	1	1	2	2.8	9
Hspe1	5.57142857142857	2.66666666666667	2	2	4	11	7	3.5	6	1	5.1	9
Mob4	0.714285714285714	0	0	1	2	1	0	0	0	1.5	0.6	0
Rftn2	0.257142857142857	0	0	1	0	1	1	0.5	0	0	0.4	0
Gm10561	0	0	0	0	0	0	0	0	0	0	0.1	0
Mars2	0	0	0	0	0	0	0	0	0	0	0	0
Boll	0	0	0	0	0	0	0	0	0	0	0	0
Plcl1	0.228571428571429	0.333333333333333	0	0	0.5	1	0	0	1	0	0.5	0
9130227L01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm28240	0	0	0	0	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.2	0
1700126A01Rik	0	0	0	0	0	0	0	0	0	0	0	0
BC055402	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Tyw5	0.0857142857142857	0.333333333333333	0	0	0	0	0	0	0	0	0.2	0
Maip1	0.514285714285714	0.333333333333333	0.5	0	0	2	1	0	0	0.5	0.1	0
Spats2l	2.45714285714286	2.33333333333333	1	2	1.5	9	4	0.5	4	2.5	0.8	2
Gm17234	0	0	0	0	0	0	0	0	0	0	0	0
Kctd18	0.114285714285714	0	0.5	0	0	0	0	0	0	0	0.1	0
Sgo2a	0.0571428571428571	0	0.5	0	0	0	0	0	0	0	0	0
Aox1	0	0	0	0	0	0	0	0	0	0	0	0
Aox3	0	0	0	0	0	0	0	0	0	0	0	0
Aox4	0	0	0	0	0	0	0	0	0	0	0	0
Gm15759	0	0	0	0	0	0	0	0	0	0	0	0
Aox2	0	0	0	0	0	0	0	0	0	0	0	0
Bzw1	1.71428571428571	1.33333333333333	4.5	3	2.5	7	5	0.5	0	0.5	1.3	5
Clk1	1.08571428571429	0.666666666666667	1	2	2	2	0	0.5	0	0.5	1.1	0
Ppil3	0.2	0	0	0	0	0	1	0	0	0	0.4	0
Nif3l1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Orc2	0.171428571428571	0.333333333333333	0.5	0	0	0	0	0	1	0	0.2	0
Gm15834	0	0	0	0	0	0	0	0	0	0	0	0
Fam126b	0.0857142857142857	0	0.5	0	1	0	0	0	0	0	0.1	0
Ndufb3	1.97142857142857	1	1.5	2	1	2	2	2	1	1	0.7	4
Als2cr12	0	0	0	0	0	0	0	0	0	0	0	0
Cflar	0.485714285714286	0	0	1	0.5	2	1	0.5	0	0.5	0.7	0
Casp8	0.142857142857143	0.333333333333333	0	0	0	0	0	0	0	0	0.1	0
Trak2	0.257142857142857	0	2	0	0	0	0	0.5	0	0.5	0.7	0
Stradb	0.142857142857143	0	0	0	0	0	0	0	0	0.5	0	0
C2cd6b	0	0	0	0	0	0	0	0	0	0	0	0
Gm29018	0	0	0	0	0	0	0	0	0	0	0	0
C2cd6	0	0	0	0	0	0	0	0	0	0	0	0
Tmem237	0.171428571428571	0.666666666666667	0.5	0	0.5	0	1	1	0	0	0	0
G730003C15Rik	0.0285714285714286	0	0	0	0	0	1	0	0	0	0	0
Mpp4	0	0	0	0	0	0	0	0	0	0	0	0
Gm29017	0	0	0	0	0	0	0	0	0	0	0	0
Als2	0	0	0	0	0	0	0	0	0	0	0	0
Cdk15	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm29016	0	0	0	0	0	0	0	0	0	0	0	0
Fzd7	0.142857142857143	0.333333333333333	0	0	0	0	0	0	0	0	0.1	0
Gm26813	0	0	0	0	0	0	0	0	0	0	0	0
Gm973	0	0	0	0	0	0	0	0	0	0	0	0
Gm28411	0	0	0	0	0	0	0	0	0	0	0	0
1700122D07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sumo1	1.31428571428571	0.333333333333333	0.5	1	2.5	1	2	0.5	0	1	1	3
Nop58	1.22857142857143	0	0	0	1	1	1	0.5	2	0	0.5	0
Bmpr2	0.514285714285714	0.666666666666667	2	1	1	3	1	0	1	0.5	0.4	0
